Année;Numéro;Type de feu;Département;Code INSEE;Commune;Lieu-dit;Code du carreau DFCI;DFCI_2;Alerte;mois;heure;Origine de l'alerte;Surface parcourue (m2);surf_ha
1973;8;0;06;06060;Falicon;FALICON;R21B03;R21B03;09/01/1973 13:50;1;13;3;10000;1
1973;1871;0;83;83038;Châteaudouble;CHATEAUDOUBLE;P22O27;P22O27;28/01/1973 13:25;1;13;6;30000;3
1973;1872;0;83;83078;Moissac-Bellevue;MOISSAC BELLEVUE;P22O17;P22O17;29/01/1973 11:15;1;11;6;6000;0,6
1973;1639;0;34;34163;Montarnaud;MONTARNAUD;M22O06;M22O06;29/01/1973 13:00;1;13;3;100000;10
1973;9;0;06;06012;Beausoleil;BEAUSOLEIL;R21B10;R21B10;29/01/1973 15:00;1;15;3;40000;4
1973;2248;0;84;84012;Beaumes-de-Venise;BEAUMES DE VENISE;N20B28;N20B28;31/01/1973 13:50;1;13;3;1000;0,1
1973;1640;0;34;34117;Graissessac;GRAISSESSAC;L22Q09;L22Q09;04/02/1973 12:00;2;12;6;30000;3
1973;1641;0;34;34157;Mèze;MEZE;M22C01;M22C01;04/02/1973 12:00;2;12;3;1000;0,1
1973;2250;0;84;84057;Joucas;JOUCAS;O21K19;O21K19;04/02/1973 14:15;2;14;3;1000;0,1
1973;1873;0;83;83033;Carnoules;CARNOULES;P23O18;P23O18;04/02/1973 15:12;2;15;3;20000;2
